GEOID,GEO,NAME,DATE,POSITIVE,POS_NEW,NEGATIVE,NEG_NEW,DEATHS,DTH_NEW,TEST_NEW,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,OBJECTID
55105,County,Rock,2020/10/27 19:00:00+00,5077,154,47714,284,44,2,438,277,3151,1649,2639,2381,57,216,507,1015,719,830,816,528,291,117,38,19,25,-999,-999,-999,-999,-999,-999,6,6,11,11,5,22,73,309,3836,453,384,836,3605,636,-999,-999,-999,35,-999,-999,11,33,-999,218,1937,2922,355028
55107,County,Rusk,2020/10/27 19:00:00+00,205,6,2992,21,1,0,27,8,39,158,107,97,-999,6,15,33,29,31,35,24,24,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,110,-999,91,5,114,86,-999,-999,-999,-999,-999,-999,-999,-999,-999,8,40,157,355092
55109,County,St. Croix,2020/10/27 19:00:00+00,1806,31,20946,113,11,0,144,78,1109,619,896,907,-999,67,205,338,255,310,327,169,100,22,13,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,12,14,1540,32,207,83,1475,248,-999,-999,-999,11,-999,-999,-999,11,-999,130,866,810,355121
55111,County,Sauk,2020/10/27 19:00:00+00,1732,89,24740,91,7,0,180,59,858,815,891,839,-999,50,222,394,269,244,254,181,90,25,-999,-999,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,38,14,21,1421,173,65,255,1369,108,-999,-999,-999,7,-999,-999,-999,7,-999,134,1280,318,355141
55113,County,Sawyer,2020/10/27 19:00:00+00,372,3,5407,28,3,0,31,17,236,119,178,194,-999,15,53,48,43,37,56,69,31,18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,61,-999,-999,246,16,44,-999,292,76,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,185,177,355160
55115,County,Shawano,2020/10/27 19:00:00+00,2406,50,11831,41,23,5,91,75,1755,576,1294,1110,-999,56,197,370,342,312,501,328,200,84,16,10,13,-999,-999,-999,-999,-999,-999,-999,-999,7,9,5,242,6,-999,1640,81,433,99,1645,662,-999,-999,-999,19,-999,-999,-999,20,-999,60,301,2045,355170
55117,County,Sheboygan,2020/10/27 19:00:00+00,4697,107,29796,180,26,2,287,149,1522,3026,1973,2700,24,110,368,919,887,774,799,465,232,111,32,11,15,-999,-999,-999,-999,-999,-999,-999,-999,7,5,5,34,152,449,3275,187,600,531,3201,965,-999,-999,-999,21,-999,-999,6,19,-999,71,534,4092,355186
55119,County,Taylor,2020/10/27 19:00:00+00,475,0,3710,33,7,0,33,27,345,103,260,215,-999,17,54,51,71,76,71,66,41,23,5,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,460,5,9,47,419,9,-999,-999,-999,7,-999,-999,-999,7,-999,13,94,368,355219
55121,County,Trempealeau,2020/10/27 19:00:00+00,1006,16,7943,44,2,0,60,28,438,540,496,510,-999,47,124,228,189,128,126,88,49,21,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7,10,795,95,96,266,631,109,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,459,517,355232
55123,County,Vernon,2020/10/27 19:00:00+00,495,10,8461,39,2,0,49,19,209,267,253,241,-999,17,60,72,77,65,69,62,55,16,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,460,5,25,10,442,43,-999,-999,-999,-999,-999,-999,-999,-999,-999,14,91,390,355246
55125,County,Vilas,2020/10/27 19:00:00+00,555,12,5741,61,5,0,73,39,323,193,263,292,-999,16,34,58,66,75,97,114,58,32,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,52,-999,-999,385,8,106,7,402,146,-999,-999,-999,-999,-999,-999,-999,5,-999,13,129,413,355259
55127,County,Walworth,2020/10/27 19:00:00+00,3385,30,28377,136,38,1,166,113,1262,2010,1635,1737,13,70,479,1076,389,415,414,292,134,75,41,21,17,-999,-999,-999,-999,-999,-999,-999,7,8,10,12,14,13,56,2726,235,341,651,2294,440,-999,-999,-999,36,-999,-999,5,32,-999,122,1167,2096,355268
55129,County,Washburn,2020/10/27 19:00:00+00,242,12,3764,19,2,0,31,14,116,112,121,121,-999,9,33,21,23,26,47,47,26,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,235,-999,-999,5,235,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,181,51,355294
55131,County,Washington,2020/10/27 19:00:00+00,4367,86,33433,213,42,0,299,190,2311,1866,2280,2083,-999,129,507,676,570,663,836,505,304,137,40,18,24,-999,-999,-999,-999,-999,-999,-999,5,9,19,7,12,34,43,4051,119,108,182,3618,567,-999,-999,-999,41,-999,-999,-999,38,-999,288,2074,2005,355304
55133,County,Waukesha,2020/10/27 19:00:00+00,12186,310,104757,575,119,6,885,638,5669,5879,6174,5991,21,355,1629,2128,1648,1705,2143,1409,749,322,98,43,76,-999,-999,-999,-999,-999,-999,6,11,29,50,21,35,210,247,10048,486,1160,863,8539,2784,-999,5,5,103,-999,6,7,103,9,669,5555,5962,355339
55135,County,Waupaca,2020/10/27 19:00:00+00,2371,58,13538,87,38,0,145,124,1190,1057,1253,1117,-999,41,166,348,309,373,456,354,190,91,43,16,22,-999,-999,-999,-999,-999,-999,-999,5,7,12,12,10,8,11,1906,139,297,97,1771,503,-999,-999,-999,36,-999,-999,-999,36,-999,97,710,1564,355428
55137,County,Waushara,2020/10/27 19:00:00+00,1009,29,8064,37,5,0,66,50,651,308,466,542,-999,34,82,132,149,163,184,150,79,30,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,6,38,840,64,52,166,732,111,-999,-999,-999,5,-999,-999,-999,5,-999,32,256,721,355446
55139,County,Winnebago,2020/10/27 19:00:00+00,8726,173,54635,701,59,3,874,276,4218,4232,4081,4631,14,218,773,2056,1447,1204,1435,938,408,174,73,31,28,-999,-999,-999,-999,-999,-999,-999,6,10,24,13,67,212,356,7187,365,539,496,6902,1328,-999,-999,-999,56,-999,-999,-999,58,-999,321,2305,6100,355459
55141,County,Wood,2020/10/27 19:00:00+00,1679,45,18690,157,9,0,202,64,1010,605,872,805,-999,53,160,309,247,219,278,229,134,40,10,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,22,22,5,1503,46,81,57,1377,245,-999,-999,-999,9,-999,-999,-999,8,-999,153,1118,408,355505
